00:44:21 INFO  com.qa25.tripsDB.tests.TestBase - Start test: searchRoute
00:44:22 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:44:22 INFO  com.qa25.tripsDB.tests.TestBase - Aberdeen - Reus
00:44:22 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:44:22 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Reus,1,499,63.0
00:44:22 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Reus,3,1208,284.0
00:44:22 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Reus,3,1338,354.0
00:44:22 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Reus,2,2655,178.0
00:44:25 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Reus,1,674,38
00:44:25 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Reus,3,1228,285
00:44:25 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Reus,3,1347,354
00:44:26 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Reus,2,2708,177
00:44:26 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:44:26 INFO  com.qa25.tripsDB.tests.TestBase - Aberdeen - Rijeka
00:44:26 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:44:26 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Rijeka,1,611,215.7
00:44:26 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Rijeka,3,1747,347.348
00:44:26 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Rijeka,2,2880,129.526
00:44:29 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Rijeka,2,1740,353
00:44:29 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Rijeka,2,2289,377
00:44:30 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Rijeka,2,2873,103
00:44:30 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:44:30 INFO  com.qa25.tripsDB.tests.TestBase - Aberdeen - Rome
00:44:30 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:44:30 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Rome,1,469,109.0
00:44:30 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Rome,3,1688,285.0
00:44:30 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Rome,2,2695,123.0
00:44:33 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Rome,1,501,96
00:44:34 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Rome,3,1702,514
00:44:34 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:44:34 INFO  com.qa25.tripsDB.tests.TestBase - Aberdeen - Rimini
00:44:34 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:44:34 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Rimini,3,1620,275.0
00:44:34 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Rimini,2,2532,113.0
00:44:37 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Rimini,2,2045,333
00:44:38 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Rimini,2,2808,107
00:44:38 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:44:38 INFO  com.qa25.tripsDB.tests.TestBase - Aberdeen - Riga
00:44:38 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:44:38 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Riga,1,541,137.452
00:44:38 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Riga,2,3420,126.49
00:44:41 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Riga,1,366,130
00:44:41 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Riga,2,3480,113
00:44:42 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:44:42 INFO  com.qa25.tripsDB.tests.TestBase - Aberdeen - Rotterdam
00:44:42 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:44:42 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Rotterdam,3,684,197.0
00:44:42 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Rotterdam,3,705,194.0
00:44:45 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Rotterdam,3,693,198
00:44:45 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Rotterdam,3,725,194
00:44:46 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:44:46 INFO  com.qa25.tripsDB.tests.TestBase - Aberdeen - Ronneby
00:44:46 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:44:46 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Ronneby,1,614,167.064
00:44:49 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Ronneby,2,2371,
00:44:50 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:44:50 INFO  com.qa25.tripsDB.tests.TestBase - Aberdeen - Salzburg
00:44:50 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:44:50 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Salzburg,1,424,104.0
00:44:50 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Salzburg,2,2255,88.0
00:44:50 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Salzburg,3,1470,256.0
00:44:53 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Salzburg,1,429,144
00:44:53 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Salzburg,3,1201,322
00:44:53 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Salzburg,2,1391,270
00:44:53 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Salzburg,2,1756,487
00:44:53 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Salzburg,2,2308,74
00:44:54 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:44:54 INFO  com.qa25.tripsDB.tests.TestBase - Aberdeen - Sofia
00:44:54 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:44:54 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Sofia,1,501,71.6776
00:44:54 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Sofia,2,3300,185.519
00:44:57 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Sofia,1,491,128
00:44:57 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Sofia,10,3360,172
00:44:58 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:44:58 INFO  com.qa25.tripsDB.tests.TestBase - Aberdeen - Sarajevo
00:44:58 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:44:58 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Sarajevo,1,597,140.825
00:44:58 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Sarajevo,2,2880,130.706
00:45:01 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Sarajevo,1,567,174
00:45:01 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Sarajevo,2,3060,144
00:45:02 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:45:02 INFO  com.qa25.tripsDB.tests.TestBase - Aberdeen - Southampton
00:45:02 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:45:02 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Southampton,1,283,91.3043
00:45:02 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Southampton,3,630,107.609
00:45:02 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Southampton,3,644,208.696
00:45:02 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Southampton,3,652,289.13
00:45:02 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Southampton,4,550,92.3913
00:45:05 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Southampton,3,575,117
00:45:05 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Southampton,3,687,290
00:45:05 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Southampton,2,1010,52
00:45:05 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Southampton,4,549,95
00:45:06 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:45:06 INFO  com.qa25.tripsDB.tests.TestBase - Aberdeen - Swansea
00:45:06 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:45:06 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Swansea,3,651,203.261
00:45:06 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Swansea,3,663,279.348
00:45:06 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Swansea,2,900,44.5652
00:45:06 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Swansea,4,545,86.9565
00:45:09 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Swansea,3,649,214
00:45:09 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Swansea,3,662,288
00:45:09 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Swansea,4,542,85
00:45:10 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:45:10 INFO  com.qa25.tripsDB.tests.TestBase - Aberdeen - Shoreham
00:45:10 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:45:10 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Shoreham,3,526,94.5652
00:45:10 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Shoreham,3,547,92.3913
00:45:10 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Shoreham,3,662,263.043
00:45:10 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Shoreham,4,585,97.8261
00:45:13 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Shoreham,3,536,98
00:45:13 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Shoreham,3,569,94
00:45:13 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Shoreham,3,659,296
00:45:13 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Shoreham,4,583,100
00:45:14 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:45:14 INFO  com.qa25.tripsDB.tests.TestBase - Aberdeen - Saarbruecken
00:45:14 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:45:14 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Saarbruecken,1,621,137.0
00:45:14 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Saarbruecken,3,812,249.0
00:45:17 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Saarbruecken,3,839,249
00:45:17 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Saarbruecken,2,1718,
00:45:18 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:45:18 INFO  com.qa25.tripsDB.tests.TestBase - Aberdeen - Stuttgart
00:45:18 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:45:18 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Stuttgart,1,416,105.0
00:45:18 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Stuttgart,3,954,276.0
00:45:18 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Stuttgart,3,975,273.0
00:45:18 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Stuttgart,3,1125,467.0
00:45:18 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Stuttgart,2,1964,79.0
00:45:21 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Stuttgart,1,526,125
00:45:21 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Stuttgart,3,944,277
00:45:21 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Stuttgart,3,977,273
00:45:21 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Stuttgart,3,1105,498
00:45:21 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Stuttgart,2,2002,65
00:45:22 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:45:22 INFO  com.qa25.tripsDB.tests.TestBase - Aberdeen - Santorini
00:45:22 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:45:22 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Santorini,1,564,214.0
00:45:25 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Santorini,1,529,117
00:45:26 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:45:26 INFO  com.qa25.tripsDB.tests.TestBase - Aberdeen - Shannon
00:45:26 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:45:26 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Shannon,1,396,88.0
00:45:26 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Shannon,2,1443,70.0
00:45:29 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Shannon,1,431,38
00:45:30 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:45:30 INFO  com.qa25.tripsDB.tests.TestBase - Aberdeen - Santiago de Compostela
00:45:30 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:45:30 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Santiago de Compostela,1,523,140.91
00:45:30 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Santiago de Compostela,2,2701,124.376
00:45:33 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Santiago de Compostela,1,551,113
00:45:33 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Santiago de Compostela,2,2808,158
00:45:34 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:45:34 INFO  com.qa25.tripsDB.tests.TestBase - Aberdeen - Sevilla
00:45:34 INFO  com.qa25.tripsDB.tests.TestBase - --------------
00:45:34 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Sevilla,1,498,123.0
00:45:34 INFO  com.qa25.tripsDB.tests.TestBase - From DataBase: Aberdeen,Sevilla,2,2940,182.0
00:45:37 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Sevilla,1,488,40
00:45:37 INFO  com.qa25.tripsDB.tests.TestBase - From Site: Aberdeen,Sevilla,2,3000,198
